ESPECIFICACOES TECNICAS,,,,,,,,,,,,,,METROLOGIA,,,,,,,,,,,"prontidao
Status",,PATRIMONIO / INVENTARIO,,,,,,,PROCESSO LICITATORIO,,,,,,,OBTENCAO / FINANCEIRO,,,,,,,,"Gerenciamento e transporte do equipamento
OFICINA > ET > TRANSPORTADORA > LABORATORIO",,,,,,,,,,,,,,,,,
"equipamento_classe
ELE – eletrico
MEC – mecanico",equipamento_tipo,equipamento_fabricante,equipamento_modelo,equipamento_serial,equipamento_codigo_interno,equipamento_altura,equipamento_largura,equipamento_equipamento_comprimento,equipamento_tensao,equipamento_potencia,equipamento_necessidade,equipamento_,,faixa de medicao,unidade da medicao,TOLERANCIA,"ERRO MAX TOLERAVEL
ESPEC. PELO USUARIO/PROCEDIMENTO",ERRO MENSURADO CERT. CAL. VIGENTE,VARIANCIA,ANALISE Ia,obsvacao,,,,"prontidao
Status",prioridade,CICLO CALIBRAÇÃO (MESES),"
 DIVISÃO",INCUMBENCIA,CADBEM,INCUMBENCIA_RESPONSAVEL,"PS - Pedido de servico 
",,RESP_PROCESSO,PROCESSO_NUP,CONTRATO / ATA N,VALOR_MAX_TR,DATA_HOMOLOGACAO,DATA_ASS_ATA,VALOR_SERVICO_ATA,SOLEMP,SOLEMP_DATA,NOTA DE EMPENHO,DATA_EMPENHO_RECEBIDO_EXEC,NF,DATA_NF,DATA_CERTIFICACAO_NF,"executor
Laboratorio",,Data de ENTRADA na Oficina  Eletronica,saida para Cali.  Da Oficina  Eletronica,LOTE / REMESSA,RETORNO CAL,ENTREGUE  A OFICINA,,ULTIMA CALIBRAÇÃO,PRÓXIMA CALIBRAÇÃO,VALIDADE CALIBRAÇÃO,CERTIFICADO  ,localizacao,COMENTÁRIOS,,"CUSTO ESTIMADO
BASE HIST + AI",ORÇAMENTO,PAGAMENTO,LOCAL CALIBRAÇÃO
ELE ,MULTÍMETRO,FLUKE,87,,,,,,,,,,,,,,,,,,,,,,,,12,MK-46,,,,36,,,,,,,,,,,,,,,,,,15/01/25,15/01/25,,16/11/23,,,45219,#VALOR!,DESCALIBRADO,certificado nº 2142108/2023,CMASM,cms ,,"560,75",,,CMS
ELE ,MULTÍMETRO,ICEL,6300,,,,,,,,,,,,,,,,,,,,,,,,12,MK-46,,,,37,,,,,,,,,,,,,,,,,,15/01/25,15/01/25,,15/05/25,,,45749,#VALOR!,DESCALIBRADO,certificado nº 2142037/2023,CMASM,,,"776,23",,,CMS
ELE ,MULTÍMETRO,ICEL,MA-60,,,,,,,,,,,,,,,,,,,,,,,,12,MK-46,,,,38,,,,,,,,,,,,,,,,,,18/06/24,04/07/24,,,,,,#VALOR!,DESCALIBRADO,,CMS,,,"776,23",,,CMS
ELE ,MULTÍMETRO 6 DÍGITOS,HP,3456A     ,,,,,,,,,,,"1000 VDC x 100 nV
100 a 1G Ohm",,,,,,,,,,,,,12,MK-46,,,,39,,,,,,,,,,,,,,,,,,15/01/25,15/01/25,,18/02/25,,,45699,#VALOR!,DESCALIBRADO,certificado nº 2142013/2025 ,CMASM,,,"1164,35",,,CMS
ELE ,MULTÍMETRO 6 DÍGITOS,HP,3456A     ,,,,,,,,,,,"1000 VDC x 100 nV
100 a 1G Ohm",,,,,,,,,,,,,12,MK-46,,,,40,,,,,,,,,,,,,,,,,,15/01/25,15/01/25,,17/02/25,,,45699,#VALOR!,DESCALIBRADO,certificado nº 2142014/2025,CMASM,,,"1164,35",,,CMS
ELE ,OSCILOSCÓPIO,KEYSIGHT,DSO5034A ,,,,,,,,,,,,,,,,,,,,,,,,12,MK-46,,,,41,,,,,,,,,,,,,,,,,,15/01/25,15/01/25,,18/09/23,,,45153,#VALOR!,DESCALIBRADO,certificado nº 2142078/2023,CMASM,cms ,,"1552,47",,,CMS
ELE ,OSCILOSCÓPIO,KEYSIGHT,DSO5034A ,,,,,,,,,,,,,,,,,,,,,,,,12,MK-46,,,,42,,,,,,,,,,,,,,,,,,15/01/25,15/01/25,,23/10/23,,,45219,#VALOR!,DESCALIBRADO,certificado nº 2142107/2023,CMASM,cms ,,"747,66",,,CMS
ELE ,CALIBRADOR MULTIFUNÇÃO ,FLUKE,5100B,,,,,,,,,,,"200 VDC x 100 uV
1100 VAC x 0.1 uV
1.9 ADC x 1nA
1.9 AAC x 1nA
1 a 10 Mohm",,,,,,,,,,,,,7,MK-48,,,,43,,,,,,,,,,,,,,,,,,05/01/25,05/01/25,,15/01/25,,,45667,#VALOR!,DESCALIBRADO,certificado nº 2142002/2025,CMASM,,,"3104,95",,,CMS
ELE ,CALIBRADOR MULTIFUNÇÃO ,FLUKE,5100B,,,,,,,,,,,"200 VDC x 100 uV
1100 VAC x 0.1 uV
1.9 ADC x 1nA
1.9 AAC x 1nA
1 a 10 Mohm",,,,,,,,,,,,,7,MK-48,,,,44,,,,,,,,,,,,,,,,,,23/08/24,05/09/24,,12/11/24,,,45604,#VALOR!,DESCALIBRADO,,cms,nec material,,"3104,95",,,CMS
ELE ,CALIBRADOR MULTIFUNÇÃO ,FLUKE,5100B,,,,,,,,,,,"200 VDC x 100 uV
1100 VAC x 0.1 uV
1.9 ADC x 1nA
1.9 AAC x 1nA
1 a 10 Mohm",,,,,,,,,,,,,7,MK-48,,,,45,,,,,,,,,,,,,,,,,,23/07/23,11/08/23,,,,,44945,#VALOR!,DESCALIBRADO,,CMASM,"INSTRUMENTO COM DEFEITO. 
FAZER PS REPARO
Enviado como sucata",,"3104,95",,,CMS
